3.731, PlayerAction, MISS,HeadBanging,Score=-1
5.275666, PlayerAction, MISS,HeadBanging,Score=-1
6.022333, PlayerAction, MISS,HeadBanging,Score=-1
6.717666, PlayerAction, MISS,HeadBanging,Score=-1
7.265999, PlayerAction, MISS,HeadBanging,Score=-1
7.963666, PlayerAction, MISS,HeadBanging,Score=-1
11.99567, PlayerAction,HIT BELOW BEST,HeadBanging,Score=4
15.827, PlayerAction,HIT BELOW GOOD,HeadBanging,Score=2
20,IdealAction,,HeadBanging
20.00833, PlayerAction,HIT ABOVE BEST,HeadBanging,Score=4
23.94233, PlayerAction,HIT BELOW BEST,HeadBanging,Score=4
27.27666, PlayerAction, MISS,HeadBanging,Score=-1
31.80566, PlayerAction,HIT BELOW GOOD,HeadBanging,Score=2
35.987, PlayerAction,HIT BELOW BEST,HeadBanging,Score=4
39.72033, PlayerAction, MISS,HeadBanging,Score=-1
43.85266, PlayerAction,HIT BELOW GOOD,HeadBanging,Score=2
47.83566, PlayerAction,HIT BELOW GOOD,HeadBanging,Score=2
52,IdealAction,,HeadBanging
52.01699, PlayerAction,HIT ABOVE BEST,HeadBanging,Score=4
55.99766, PlayerAction,HIT BELOW BEST,HeadBanging,Score=4
59.93166, PlayerAction,HIT BELOW BEST,HeadBanging,Score=4
61.971, PlayerAction,HIT BELOW BEST,HeadBanging,Score=4
63.61366, PlayerAction, MISS,HeadBanging,Score=-1
66.15233, PlayerAction,HIT ABOVE GOOD,HeadBanging,Score=2
68.145, PlayerAction,HIT ABOVE GOOD,HeadBanging,Score=2
70.035, PlayerAction,HIT ABOVE BEST,HeadBanging,Score=4
72,IdealAction,,HeadBanging
72.02766, PlayerAction,HIT ABOVE BEST,HeadBanging,Score=4
74.06699, PlayerAction,HIT ABOVE BEST,HeadBanging,Score=4
75.36199, PlayerAction, MISS,HeadBanging,Score=-1
76.55666, PlayerAction, MISS,HeadBanging,Score=-1
77.90066, PlayerAction,HIT BELOW BEST,HeadBanging,Score=4
